team,service,model,month,api_calls,tokens_used,cost
Data,Google,gemini-1.5-flash,2023-07,1151,3794314,15.18
Data,Cohere,command-r-plus,2023-07,1229,4242864,50.91
Data,Cohere,embed-v3,2023-07,1014,3349175,0.33
Support,OpenAI,gpt-4-turbo,2023-07,1943,6132851,183.99
Support,OpenAI,gpt-4o,2023-07,2011,6317628,94.76
Support,Anthropic,claude-3-sonnet,2023-07,2689,5907376,88.61
Support,Anthropic,claude-3-haiku,2023-07,1798,6079526,18.24
Support,Google,gemini-1.5-pro,2023-07,2674,8542911,153.77
Support,Google,gemini-1.5-flash,2023-07,2472,5378978,21.52
Support,Cohere,command-r-plus,2023-07,1937,5865909,70.39
Engineering,OpenAI,gpt-4-turbo,2023-08,1304,3000226,90.01
Engineering,OpenAI,gpt-4o,2023-08,1354,2838408,42.58
Engineering,OpenAI,text-embedding-ada-002,2023-08,1428,3432183,0.34
Engineering,Anthropic,claude-3-sonnet,2023-08,2406,5932096,88.98
Engineering,Anthropic,claude-3-haiku,2023-08,1986,4006617,12.02
Engineering,Google,gemini-1.5-pro,2023-08,1517,3927119,70.69
Engineering,Google,gemini-1.5-flash,2023-08,2017,5849362,23.4
Engineering,Cohere,command-r-plus,2023-08,1786,5433856,65.21
Engineering,Cohere,embed-v3,2023-08,2482,7867385,0.79
Marketing,OpenAI,gpt-4-turbo,2023-08,492,1338614,40.16
Marketing,OpenAI,gpt-4o,2023-08,519,1226432,18.4
Marketing,OpenAI,text-embedding-ada-002,2023-08,879,1945880,0.19
Marketing,Anthropic,claude-3-sonnet,2023-08,1020,2985778,44.79
Marketing,Anthropic,claude-3-haiku,2023-08,1144,3248357,9.75
Marketing,Google,gemini-1.5-pro,2023-08,720,1792578,32.27
Marketing,Google,gemini-1.5-flash,2023-08,1031,2197885,8.79
Marketing,Cohere,command-r-plus,2023-08,929,1904268,22.85
Marketing,Cohere,embed-v3,2023-08,762,1977683,0.2
Sales,OpenAI,gpt-4-turbo,2023-08,795,2266792,68.0
Sales,OpenAI,gpt-4o,2023-08,1136,3636199,54.54
Sales,OpenAI,text-embedding-ada-002,2023-08,837,1884274,0.19
Sales,Anthropic,claude-3-sonnet,2023-08,1167,3448071,51.72
Sales,Anthropic,claude-3-haiku,2023-08,1720,3521492,10.56
Sales,Google,gemini-1.5-pro,2023-08,1932,4014612,72.26
Sales,Google,gemini-1.5-flash,2023-08,1569,4806773,19.23
Sales,Cohere,command-r-plus,2023-08,1872,5749156,68.99
Sales,Cohere,embed-v3,2023-08,1808,4536588,0.45
Design,OpenAI,gpt-4-turbo,2023-08,323,684815,20.54
Design,OpenAI,gpt-4o,2023-08,336,947986,14.22
Design,OpenAI,text-embedding-ada-002,2023-08,324,867826,0.09
Design,Anthropic,claude-3-sonnet,2023-08,443,1235794,18.54
Design,Anthropic,claude-3-haiku,2023-08,465,986936,2.96
Design,Google,gemini-1.5-pro,2023-08,300,711196,12.8
Design,Google,gemini-1.5-flash,2023-08,324,1071686,4.29
Data,OpenAI,gpt-4-turbo,2023-08,707,2448905,73.47
Data,OpenAI,gpt-4o,2023-08,767,1743526,26.15
Data,OpenAI,text-embedding-ada-002,2023-08,998,2982085,0.3
Data,Anthropic,claude-3-sonnet,2023-08,1274,3609299,54.14
Data,Anthropic,claude-3-haiku,2023-08,1443,3380490,10.14
Data,Google,gemini-1.5-pro,2023-08,1656,5733386,103.2
Data,Google,gemini-1.5-flash,2023-08,1391,3198345,12.79
Data,Cohere,command-r-plus,2023-08,1414,2981132,35.77
Data,Cohere,embed-v3,2023-08,916,2186056,0.22
Support,OpenAI,gpt-4-turbo,2023-08,1663,5491905,164.76
Support,OpenAI,gpt-4o,2023-08,1933,6019477,90.29
Support,Anthropic,claude-3-sonnet,2023-08,2437,6138565,92.08
Support,Anthropic,claude-3-haiku,2023-08,2354,8195390,24.59
Support,Google,gemini-1.5-pro,2023-08,1847,6096110,109.73
Support,Google,gemini-1.5-flash,2023-08,2672,7101970,28.41
Support,Cohere,command-r-plus,2023-08,2897,7908819,94.91
Engineering,OpenAI,gpt-4-turbo,2023-09,1700,5696789,170.9
Engineering,OpenAI,gpt-4o,2023-09,1323,3195364,47.93
Engineering,OpenAI,text-embedding-ada-002,2023-09,1465,4934918,0.49
Engineering,Anthropic,claude-3-sonnet,2023-09,1721,5050188,75.75
Engineering,Anthropic,claude-3-haiku,2023-09,2247,6964957,20.89
Engineering,Google,gemini-1.5-pro,2023-09,1622,4985602,89.74
Engineering,Google,gemini-1.5-flash,2023-09,2594,5887146,23.55
Engineering,Cohere,command-r-plus,2023-09,1755,6067197,72.81
Engineering,Cohere,embed-v3,2023-09,1684,5526176,0.55
Marketing,OpenAI,gpt-4-turbo,2023-09,691,1638255,49.15
Marketing,OpenAI,gpt-4o,2023-09,848,2262428,33.94
Marketing,OpenAI,text-embedding-ada-002,2023-09,700,1777195,0.18
Marketing,Anthropic,claude-3-sonnet,2023-09,1099,2467569,37.01
Marketing,Anthropic,claude-3-haiku,2023-09,973,3360857,10.08
Marketing,Google,gemini-1.5-pro,2023-09,890,2656743,47.82
Marketing,Google,gemini-1.5-flash,2023-09,932,2945315,11.78
Marketing,Cohere,command-r-plus,2023-09,810,2798332,33.58
Marketing,Cohere,embed-v3,2023-09,1012,2382324,0.24
Sales,OpenAI,gpt-4-turbo,2023-09,775,1747343,52.42
Sales,OpenAI,gpt-4o,2023-09,1054,2640802,39.61
Sales,OpenAI,text-embedding-ada-002,2023-09,1247,3299975,0.33
Sales,Anthropic,claude-3-sonnet,2023-09,1326,3879501,58.19
Sales,Anthropic,claude-3-haiku,2023-09,1756,3951988,11.86
Sales,Google,gemini-1.5-pro,2023-09,1250,2568758,46.24
Sales,Google,gemini-1.5-flash,2023-09,1784,5344340,21.38
Sales,Cohere,command-r-plus,2023-09,1538,5023501,60.28
Sales,Cohere,embed-v3,2023-09,1849,5321480,0.53
Design,OpenAI,gpt-4-turbo,2023-09,339,782670,23.48
Design,OpenAI,gpt-4o,2023-09,213,512185,7.68
Design,OpenAI,text-embedding-ada-002,2023-09,203,567741,0.06
Design,Anthropic,claude-3-sonnet,2023-09,525,1080983,16.21
Design,Anthropic,claude-3-haiku,2023-09,322,862412,2.59
Design,Google,gemini-1.5-pro,2023-09,525,1298972,23.38
Design,Google,gemini-1.5-flash,2023-09,418,862066,3.45
Data,OpenAI,gpt-4-turbo,2023-09,684,2380282,71.41
Data,OpenAI,gpt-4o,2023-09,1110,2228225,33.42
Data,OpenAI,text-embedding-ada-002,2023-09,1103,3263423,0.33
Data,Anthropic,claude-3-sonnet,2023-09,1589,4261872,63.93
Data,Anthropic,claude-3-haiku,2023-09,1314,3591516,10.77
Data,Google,gemini-1.5-pro,2023-09,1432,3163970,56.95
Data,Google,gemini-1.5-flash,2023-09,934,2299409,9.2
Data,Cohere,command-r-plus,2023-09,1461,3364361,40.37
Data,Cohere,embed-v3,2023-09,1437,4964645,0.5
Support,OpenAI,gpt-4-turbo,2023-09,1313,3950689,118.52
Support,OpenAI,gpt-4o,2023-09,1677,5537811,83.07
Support,Anthropic,claude-3-sonnet,2023-09,2099,6378732,95.68
Support,Anthropic,claude-3-haiku,2023-09,3132,10701797,32.11
Support,Google,gemini-1.5-pro,2023-09,2890,7935252,142.83
Support,Google,gemini-1.5-flash,2023-09,2788,9209760,36.84
Support,Cohere,command-r-plus,2023-09,2714,5551705,66.62
Engineering,OpenAI,gpt-4-turbo,2023-10,1782,5407105,162.21
Engineering,OpenAI,gpt-4o,2023-10,1566,3638620,54.58
Engineering,OpenAI,text-embedding-ada-002,2023-10,1551,4018325,0.4
Engineering,Anthropic,claude-3-sonnet,2023-10,2317,5004464,75.07
Engineering,Anthropic,claude-3-haiku,2023-10,2326,8138954,24.42
Engineering,Google,gemini-1.5-pro,2023-10,1548,5364998,96.57
Engineering,Google,gemini-1.5-flash,2023-10,2006,6632097,26.53
Engineering,Cohere,command-r-plus,2023-10,2485,7083553,85.0
Engineering,Cohere,embed-v3,2023-10,2429,8058871,0.81
Marketing,OpenAI,gpt-4-turbo,2023-10,667,1661196,49.84
Marketing,OpenAI,gpt-4o,2023-10,779,2501967,37.53
Marketing,OpenAI,text-embedding-ada-002,2023-10,819,2618114,0.26
Marketing,Anthropic,claude-3-sonnet,2023-10,1021,3294513,49.42
Marketing,Anthropic,claude-3-haiku,2023-10,820,2309721,6.93
Marketing,Google,gemini-1.5-pro,2023-10,747,1857698,33.44
Marketing,Google,gemini-1.5-flash,2023-10,977,2534591,10.14
Marketing,Cohere,command-r-plus,2023-10,1187,3065827,36.79
Marketing,Cohere,embed-v3,2023-10,1029,2424649,0.24
Sales,OpenAI,gpt-4-turbo,2023-10,981,2296427,68.89
Sales,OpenAI,gpt-4o,2023-10,790,2295086,34.43
Sales,OpenAI,text-embedding-ada-002,2023-10,1169,3424276,0.34
Sales,Anthropic,claude-3-sonnet,2023-10,1558,4003559,60.05
Sales,Anthropic,claude-3-haiku,2023-10,1941,5393306,16.18
Sales,Google,gemini-1.5-pro,2023-10,1573,3206502,57.72
Sales,Google,gemini-1.5-flash,2023-10,1441,3703792,14.82
Sales,Cohere,command-r-plus,2023-10,1496,4293906,51.53
Sales,Cohere,embed-v3,2023-10,1625,4731768,0.47
Design,OpenAI,gpt-4-turbo,2023-10,328,1055988,31.68
Design,OpenAI,gpt-4o,2023-10,320,1098651,16.48
Design,OpenAI,text-embedding-ada-002,2023-10,201,461027,0.05
Design,Anthropic,claude-3-sonnet,2023-10,299,888392,13.33
Design,Anthropic,claude-3-haiku,2023-10,526,1244107,3.73
Design,Google,gemini-1.5-pro,2023-10,533,1114183,20.06
Design,Google,gemini-1.5-flash,2023-10,535,1352177,5.41
Data,OpenAI,gpt-4-turbo,2023-10,673,1836487,55.09
Data,OpenAI,gpt-4o,2023-10,756,1835045,27.53
Data,OpenAI,text-embedding-ada-002,2023-10,783,2509153,0.25
Data,Anthropic,claude-3-sonnet,2023-10,1359,3352600,50.29
Data,Anthropic,claude-3-haiku,2023-10,1416,4353104,13.06
Data,Google,gemini-1.5-pro,2023-10,1146,3002890,54.05
Data,Google,gemini-1.5-flash,2023-10,1026,2330788,9.32
Data,Cohere,command-r-plus,2023-10,1472,3344615,40.14
Data,Cohere,embed-v3,2023-10,1348,4129691,0.41
Support,OpenAI,gpt-4-turbo,2023-10,1353,3857360,115.72
Support,OpenAI,gpt-4o,2023-10,1512,5207918,78.12
Support,Anthropic,claude-3-sonnet,2023-10,2630,8439640,126.59
Support,Anthropic,claude-3-haiku,2023-10,2736,5650165,16.95
Support,Google,gemini-1.5-pro,2023-10,2868,9828937,176.92
Support,Google,gemini-1.5-flash,2023-10,2818,9098711,36.39
Support,Cohere,command-r-plus,2023-10,3268,7654047,91.85
Engineering,OpenAI,gpt-4-turbo,2023-11,1194,3482266,104.47
Engineering,OpenAI,gpt-4o,2023-11,1367,4456135,66.84
Engineering,OpenAI,text-embedding-ada-002,2023-11,1791,4531466,0.45
Engineering,Anthropic,claude-3-sonnet,2023-11,1824,5783517,86.75
Engineering,Anthropic,claude-3-haiku,2023-11,1873,6057134,18.17
Engineering,Google,gemini-1.5-pro,2023-11,2067,6203738,111.67
Engineering,Google,gemini-1.5-flash,2023-11,1640,4814693,19.26
Engineering,Cohere,command-r-plus,2023-11,2103,6056456,72.68
Engineering,Cohere,embed-v3,2023-11,1735,5387713,0.54
Marketing,OpenAI,gpt-4-turbo,2023-11,879,2043771,61.31
Marketing,OpenAI,gpt-4o,2023-11,547,1113395,16.7
Marketing,OpenAI,text-embedding-ada-002,2023-11,783,2279031,0.23
Marketing,Anthropic,claude-3-sonnet,2023-11,1113,2613235,39.2
Marketing,Anthropic,claude-3-haiku,2023-11,1012,2926415,8.78
Marketing,Google,gemini-1.5-pro,2023-11,1081,3763694,67.75
Marketing,Google,gemini-1.5-flash,2023-11,847,2577181,10.31
Marketing,Cohere,command-r-plus,2023-11,1021,2697787,32.37
Marketing,Cohere,embed-v3,2023-11,1224,3719312,0.37
Sales,OpenAI,gpt-4-turbo,2023-11,1402,3074013,92.22
Sales,OpenAI,gpt-4o,2023-11,826,2549455,38.24
Sales,OpenAI,text-embedding-ada-002,2023-11,1134,2734347,0.27
Sales,Anthropic,claude-3-sonnet,2023-11,1214,2583983,38.76
Sales,Anthropic,claude-3-haiku,2023-11,2009,4596192,13.79
Sales,Google,gemini-1.5-pro,2023-11,1452,3397657,61.16
Sales,Google,gemini-1.5-flash,2023-11,1483,3120433,12.48
Sales,Cohere,command-r-plus,2023-11,1643,3452631,41.43
Sales,Cohere,embed-v3,2023-11,1917,4506039,0.45
Design,OpenAI,gpt-4-turbo,2023-11,295,979434,29.38
Design,OpenAI,gpt-4o,2023-11,315,881822,13.23
Design,OpenAI,text-embedding-ada-002,2023-11,258,644871,0.06
Design,Anthropic,claude-3-sonnet,2023-11,477,1665306,24.98
Design,Anthropic,claude-3-haiku,2023-11,475,1347420,4.04
Design,Google,gemini-1.5-pro,2023-11,493,1330019,23.94
Design,Google,gemini-1.5-flash,2023-11,318,904215,3.62
Data,OpenAI,gpt-4-turbo,2023-11,1150,2602397,78.07
Data,OpenAI,gpt-4o,2023-11,1005,2312907,34.69
Data,OpenAI,text-embedding-ada-002,2023-11,922,1977703,0.2
Data,Anthropic,claude-3-sonnet,2023-11,1313,4115263,61.73
Data,Anthropic,claude-3-haiku,2023-11,1230,3686762,11.06
Data,Google,gemini-1.5-pro,2023-11,1594,5404882,97.29
Data,Google,gemini-1.5-flash,2023-11,1138,2957632,11.83
Data,Cohere,command-r-plus,2023-11,1071,3736424,44.84
Data,Cohere,embed-v3,2023-11,1701,4779700,0.48
Support,OpenAI,gpt-4-turbo,2023-11,2176,6052406,181.57
Support,OpenAI,gpt-4o,2023-11,1939,4137218,62.06
Support,Anthropic,claude-3-sonnet,2023-11,3123,6844273,102.66
Support,Anthropic,claude-3-haiku,2023-11,3238,10274310,30.82
Support,Google,gemini-1.5-pro,2023-11,3047,6259271,112.67
Support,Google,gemini-1.5-flash,2023-11,2388,5718469,22.87
Support,Cohere,command-r-plus,2023-11,2481,5288162,63.46
Engineering,OpenAI,gpt-4-turbo,2023-12,1858,5259446,157.78
Engineering,OpenAI,gpt-4o,2023-12,1300,3374113,50.61
Engineering,OpenAI,text-embedding-ada-002,2023-12,1425,4133770,0.41
Engineering,Anthropic,claude-3-sonnet,2023-12,2229,7531987,112.98
Engineering,Anthropic,claude-3-haiku,2023-12,2204,7688074,23.06
Engineering,Google,gemini-1.5-pro,2023-12,2673,6182022,111.28
Engineering,Google,gemini-1.5-flash,2023-12,2778,6040898,24.16
Engineering,Cohere,command-r-plus,2023-12,2628,6756417,81.08
Engineering,Cohere,embed-v3,2023-12,2709,8945348,0.89
Marketing,OpenAI,gpt-4-turbo,2023-12,871,2774174,83.23
Marketing,OpenAI,gpt-4o,2023-12,649,1376774,20.65
Marketing,OpenAI,text-embedding-ada-002,2023-12,693,1566378,0.16
Marketing,Anthropic,claude-3-sonnet,2023-12,1233,3106111,46.59
Marketing,Anthropic,claude-3-haiku,2023-12,1419,4202309,12.61
Marketing,Google,gemini-1.5-pro,2023-12,1317,2895802,52.12
Marketing,Google,gemini-1.5-flash,2023-12,1344,4548278,18.19
Marketing,Cohere,command-r-plus,2023-12,1095,3185770,38.23
Marketing,Cohere,embed-v3,2023-12,1279,2893427,0.29
Sales,OpenAI,gpt-4-turbo,2023-12,1105,2870783,86.12
Sales,OpenAI,gpt-4o,2023-12,869,2217081,33.26
Sales,OpenAI,text-embedding-ada-002,2023-12,818,1667671,0.17
Sales,Anthropic,claude-3-sonnet,2023-12,1293,4453961,66.81
Sales,Anthropic,claude-3-haiku,2023-12,1705,5880090,17.64
Sales,Google,gemini-1.5-pro,2023-12,1589,3921213,70.58
Sales,Google,gemini-1.5-flash,2023-12,1662,4419702,17.68
Sales,Cohere,command-r-plus,2023-12,1264,3743006,44.92
Sales,Cohere,embed-v3,2023-12,1374,4024970,0.4
Design,OpenAI,gpt-4-turbo,2023-12,320,712971,21.39
Design,OpenAI,gpt-4o,2023-12,216,684966,10.27
Design,OpenAI,text-embedding-ada-002,2023-12,287,599039,0.06
Design,Anthropic,claude-3-sonnet,2023-12,572,1193575,17.9
Design,Anthropic,claude-3-haiku,2023-12,493,1713430,5.14
Design,Google,gemini-1.5-pro,2023-12,372,823375,14.82
Design,Google,gemini-1.5-flash,2023-12,341,837125,3.35
Data,OpenAI,gpt-4-turbo,2023-12,699,2123731,63.71
Data,OpenAI,gpt-4o,2023-12,678,1874082,28.11
Data,OpenAI,text-embedding-ada-002,2023-12,1194,3845820,0.38
Data,Anthropic,claude-3-sonnet,2023-12,1475,3627586,54.41
Data,Anthropic,claude-3-haiku,2023-12,1482,4135613,12.41
Data,Google,gemini-1.5-pro,2023-12,1318,2894414,52.1
Data,Google,gemini-1.5-flash,2023-12,1700,4546950,18.19
Data,Cohere,command-r-plus,2023-12,1127,2875697,34.51
Data,Cohere,embed-v3,2023-12,1309,4242870,0.42
Support,OpenAI,gpt-4-turbo,2023-12,2098,6617002,198.51
Support,OpenAI,gpt-4o,2023-12,1300,3411500,51.17
Support,Anthropic,claude-3-sonnet,2023-12,2729,5536563,83.05
Support,Anthropic,claude-3-haiku,2023-12,2362,7417706,22.25
Support,Google,gemini-1.5-pro,2023-12,2159,6051601,108.93
Support,Google,gemini-1.5-flash,2023-12,2288,4617598,18.47
Support,Cohere,command-r-plus,2023-12,2331,8074142,96.89
Engineering,OpenAI,gpt-4-turbo,2024-01,1771,6091115,182.73
Engineering,OpenAI,gpt-4o,2024-01,1489,3223095,48.35
Engineering,OpenAI,text-embedding-ada-002,2024-01,1543,4137656,0.41
Engineering,Anthropic,claude-3-sonnet,2024-01,2714,5827294,87.41
Engineering,Anthropic,claude-3-haiku,2024-01,2234,4970813,14.91
Engineering,Google,gemini-1.5-pro,2024-01,2013,6252449,112.54
Engineering,Google,gemini-1.5-flash,2024-01,2217,5684016,22.74
Engineering,Cohere,command-r-plus,2024-01,2107,5666081,67.99
Engineering,Cohere,embed-v3,2024-01,2634,8792626,0.88
Marketing,OpenAI,gpt-4-turbo,2024-01,954,3034058,91.02
Marketing,OpenAI,gpt-4o,2024-01,666,2019446,30.29
Marketing,OpenAI,text-embedding-ada-002,2024-01,721,1717426,0.17
Marketing,Anthropic,claude-3-sonnet,2024-01,1355,2788101,41.82
Marketing,Anthropic,claude-3-haiku,2024-01,1396,3758333,11.27
Marketing,Google,gemini-1.5-pro,2024-01,1217,3637650,65.48
Marketing,Google,gemini-1.5-flash,2024-01,1391,4110411,16.44
Marketing,Cohere,command-r-plus,2024-01,1201,2522073,30.26
Marketing,Cohere,embed-v3,2024-01,1137,2530113,0.25
Sales,OpenAI,gpt-4-turbo,2024-01,1285,3557307,106.72
Sales,OpenAI,gpt-4o,2024-01,1246,2569886,38.55
Sales,OpenAI,text-embedding-ada-002,2024-01,844,2594865,0.26
Sales,Anthropic,claude-3-sonnet,2024-01,1254,2642033,39.63
Sales,Anthropic,claude-3-haiku,2024-01,1193,4097659,12.29
Sales,Google,gemini-1.5-pro,2024-01,1927,4875073,87.75
Sales,Google,gemini-1.5-flash,2024-01,1481,3738865,14.96
Sales,Cohere,command-r-plus,2024-01,1965,5879389,70.55
Sales,Cohere,embed-v3,2024-01,1368,3093272,0.31
Design,OpenAI,gpt-4-turbo,2024-01,227,678833,20.36
Design,OpenAI,gpt-4o,2024-01,347,831956,12.48
Design,OpenAI,text-embedding-ada-002,2024-01,213,452253,0.05
Design,Anthropic,claude-3-sonnet,2024-01,576,1407264,21.11
Design,Anthropic,claude-3-haiku,2024-01,522,1533111,4.6
Design,Google,gemini-1.5-pro,2024-01,418,964965,17.37
Design,Google,gemini-1.5-flash,2024-01,347,1014114,4.06
Data,OpenAI,gpt-4-turbo,2024-01,1091,3235749,97.07
Data,OpenAI,gpt-4o,2024-01,954,1968032,29.52
Data,OpenAI,text-embedding-ada-002,2024-01,1201,3840883,0.38
Data,Anthropic,claude-3-sonnet,2024-01,1231,4271515,64.07
Data,Anthropic,claude-3-haiku,2024-01,1492,4287461,12.86
Data,Google,gemini-1.5-pro,2024-01,1615,5196512,93.54
Data,Google,gemini-1.5-flash,2024-01,1538,3371516,13.49
Data,Cohere,command-r-plus,2024-01,1269,4304607,51.66
Data,Cohere,embed-v3,2024-01,1173,3000827,0.3
Support,OpenAI,gpt-4-turbo,2024-01,1798,4781075,143.43
Support,OpenAI,gpt-4o,2024-01,2002,6836056,102.54
Support,Anthropic,claude-3-sonnet,2024-01,2374,5180666,77.71
Support,Anthropic,claude-3-haiku,2024-01,2301,7663221,22.99
Support,Google,gemini-1.5-pro,2024-01,3058,7427454,133.69
Support,Google,gemini-1.5-flash,2024-01,3345,11011923,44.05
Support,Cohere,command-r-plus,2024-01,3397,11476390,137.72
Engineering,OpenAI,gpt-4-turbo,2024-02,1300,4072331,122.17
Engineering,OpenAI,gpt-4o,2024-02,1491,4865129,72.98
Engineering,OpenAI,text-embedding-ada-002,2024-02,1737,5497033,0.55
Engineering,Anthropic,claude-3-sonnet,2024-02,2506,5678954,85.18
Engineering,Anthropic,claude-3-haiku,2024-02,2353,8181391,24.54
Engineering,Google,gemini-1.5-pro,2024-02,2893,5973352,107.52
Engineering,Google,gemini-1.5-flash,2024-02,1830,4021595,16.09
Engineering,Cohere,command-r-plus,2024-02,2602,8395816,100.75
Engineering,Cohere,embed-v3,2024-02,1897,5233403,0.52
Marketing,OpenAI,gpt-4-turbo,2024-02,920,2851266,85.54
Marketing,OpenAI,gpt-4o,2024-02,783,2259363,33.89
Marketing,OpenAI,text-embedding-ada-002,2024-02,767,1876329,0.19
Marketing,Anthropic,claude-3-sonnet,2024-02,1190,3609660,54.14
Marketing,Anthropic,claude-3-haiku,2024-02,1402,4142120,12.43
Marketing,Google,gemini-1.5-pro,2024-02,1325,2968142,53.43
Marketing,Google,gemini-1.5-flash,2024-02,1119,2253663,9.01
Marketing,Cohere,command-r-plus,2024-02,971,3000091,36.0
Marketing,Cohere,embed-v3,2024-02,1483,3186621,0.32
Sales,OpenAI,gpt-4-turbo,2024-02,1078,3449714,103.49
Sales,OpenAI,gpt-4o,2024-02,942,2668335,40.03
Sales,OpenAI,text-embedding-ada-002,2024-02,1306,3818715,0.38
Sales,Anthropic,claude-3-sonnet,2024-02,1397,3538708,53.08
Sales,Anthropic,claude-3-haiku,2024-02,2011,5693824,17.08
Sales,Google,gemini-1.5-pro,2024-02,1208,3794915,68.31
Sales,Google,gemini-1.5-flash,2024-02,1239,3863946,15.46
Sales,Cohere,command-r-plus,2024-02,1411,4849762,58.2
Sales,Cohere,embed-v3,2024-02,1582,3939808,0.39
Design,OpenAI,gpt-4-turbo,2024-02,241,592475,17.77
Design,OpenAI,gpt-4o,2024-02,374,1306943,19.6
Design,OpenAI,text-embedding-ada-002,2024-02,281,751089,0.08
Design,Anthropic,claude-3-sonnet,2024-02,519,1727903,25.92
Design,Anthropic,claude-3-haiku,2024-02,483,1249660,3.75
Design,Google,gemini-1.5-pro,2024-02,434,1320847,23.78
Design,Google,gemini-1.5-flash,2024-02,321,940332,3.76
Data,OpenAI,gpt-4-turbo,2024-02,872,2782810,83.48
Data,OpenAI,gpt-4o,2024-02,721,2078140,31.17
Data,OpenAI,text-embedding-ada-002,2024-02,943,2794569,0.28
Data,Anthropic,claude-3-sonnet,2024-02,1058,3036434,45.55
Data,Anthropic,claude-3-haiku,2024-02,1485,4218870,12.66
Data,Google,gemini-1.5-pro,2024-02,1521,4585361,82.54
Data,Google,gemini-1.5-flash,2024-02,1694,4073614,16.29
Data,Cohere,command-r-plus,2024-02,1711,4700773,56.41
Data,Cohere,embed-v3,2024-02,1068,2229798,0.22
Support,OpenAI,gpt-4-turbo,2024-02,1719,5461856,163.86
Support,OpenAI,gpt-4o,2024-02,2147,6833734,102.51
Support,Anthropic,claude-3-sonnet,2024-02,2894,7698903,115.48
Support,Anthropic,claude-3-haiku,2024-02,2258,5627588,16.88
Support,Google,gemini-1.5-pro,2024-02,2751,5867609,105.62
Support,Google,gemini-1.5-flash,2024-02,2384,6907253,27.63
Support,Cohere,command-r-plus,2024-02,3269,11433397,137.2
Engineering,OpenAI,gpt-4-turbo,2024-03,1959,5806177,174.19
Engineering,OpenAI,gpt-4o,2024-03,1482,4378222,65.67
Engineering,OpenAI,text-embedding-ada-002,2024-03,1822,3967412,0.4
Engineering,Anthropic,claude-3-sonnet,2024-03,2207,7194165,107.91
Engineering,Anthropic,claude-3-haiku,2024-03,2170,6201444,18.6
Engineering,Google,gemini-1.5-pro,2024-03,2456,5591610,100.65
Engineering,Google,gemini-1.5-flash,2024-03,2140,5353781,21.42
Engineering,Cohere,command-r-plus,2024-03,1670,3400600,40.81
Engineering,Cohere,embed-v3,2024-03,2797,6739668,0.67
Marketing,OpenAI,gpt-4-turbo,2024-03,786,1924197,57.73
Marketing,OpenAI,gpt-4o,2024-03,983,2348333,35.22
